Country,Country_Code,Year,Indicator_Code,Indicator,Value,Unit
Germany,DEU,2014,AVGHOURS,Average annual hours actually worked per worker,1400.0,Hours per year per person
Germany,DEU,2014,GDPHOUR,GDP per hour worked,77.97713783187734,USD PPP per hour
Germany,DEU,2014,WAGES,Average annual wages,69545.657,USD PPP per year
Germany,DEU,2015,AVGHOURS,Average annual hours actually worked per worker,1401.6,Hours per year per person
Germany,DEU,2015,GDPHOUR,GDP per hour worked,78.48493163318584,USD PPP per hour
Germany,DEU,2015,WAGES,Average annual wages,71243.967,USD PPP per year
Germany,DEU,2016,AVGHOURS,Average annual hours actually worked per worker,1395.8,Hours per year per person
Germany,DEU,2016,GDPHOUR,GDP per hour worked,79.54771281876491,USD PPP per hour
Germany,DEU,2016,WAGES,Average annual wages,72398.219,USD PPP per year
Germany,DEU,2017,AVGHOURS,Average annual hours actually worked per worker,1388.2,Hours per year per person
Germany,DEU,2017,GDPHOUR,GDP per hour worked,81.10085492613773,USD PPP per hour
Germany,DEU,2017,WAGES,Average annual wages,73176.585,USD PPP per year
Germany,DEU,2018,AVGHOURS,Average annual hours actually worked per worker,1380.7,Hours per year per person
Germany,DEU,2018,GDPHOUR,GDP per hour worked,81.38619176211026,USD PPP per hour
Germany,DEU,2018,WAGES,Average annual wages,74155.549,USD PPP per year
Germany,DEU,2019,AVGHOURS,Average annual hours actually worked per worker,1372.0,Hours per year per person
Germany,DEU,2019,GDPHOUR,GDP per hour worked,81.94773753764709,USD PPP per hour
Germany,DEU,2019,WAGES,Average annual wages,75376.183,USD PPP per year
Germany,DEU,2020,AVGHOURS,Average annual hours actually worked per worker,1313.6,Hours per year per person
Germany,DEU,2020,GDPHOUR,GDP per hour worked,82.65223590207722,USD PPP per hour
Germany,DEU,2020,WAGES,Average annual wages,74806.641,USD PPP per year
Germany,DEU,2021,AVGHOURS,Average annual hours actually worked per worker,1341.2,Hours per year per person
Germany,DEU,2021,GDPHOUR,GDP per hour worked,83.9727840718923,USD PPP per hour
Germany,DEU,2021,WAGES,Average annual wages,74656.666,USD PPP per year
Germany,DEU,2022,AVGHOURS,Average annual hours actually worked per worker,1343.4,Hours per year per person
Germany,DEU,2022,GDPHOUR,GDP per hour worked,84.25514005129615,USD PPP per hour
Germany,DEU,2022,WAGES,Average annual wages,73053.743,USD PPP per year
Germany,DEU,2023,AVGHOURS,Average annual hours actually worked per worker,1338.8,Hours per year per person
Germany,DEU,2023,GDPHOUR,GDP per hour worked,83.25213881369791,USD PPP per hour
Germany,DEU,2023,WAGES,Average annual wages,72953.447,USD PPP per year
Japan,JPN,2014,AVGHOURS,Average annual hours actually worked per worker,1729.0,Hours per year per person
Japan,JPN,2014,GDPHOUR,GDP per hour worked,48.50120274020391,USD PPP per hour
Japan,JPN,2014,WAGES,Average annual wages,51511.615,USD PPP per year
Japan,JPN,2015,AVGHOURS,Average annual hours actually worked per worker,1719.0,Hours per year per person
Japan,JPN,2015,GDPHOUR,GDP per hour worked,49.5954923573493,USD PPP per hour
Japan,JPN,2015,WAGES,Average annual wages,51026.717,USD PPP per year
Japan,JPN,2016,AVGHOURS,Average annual hours actually worked per worker,1714.0,Hours per year per person
Japan,JPN,2016,GDPHOUR,GDP per hour worked,49.67983444304112,USD PPP per hour
Japan,JPN,2016,WAGES,Average annual wages,51358.827,USD PPP per year
