Country,Country_Code,Year,GDPHOUR,AVGHOURS,WAGES
Germany,DEU,2014,77.97713783187734,1400.0,69545.657
Germany,DEU,2015,78.48493163318584,1401.6,71243.967
Germany,DEU,2016,79.54771281876491,1395.8,72398.219
Germany,DEU,2017,81.10085492613773,1388.2,73176.585
Germany,DEU,2018,81.38619176211026,1380.7,74155.549
Germany,DEU,2019,81.94773753764709,1372.0,75376.183
Germany,DEU,2020,82.65223590207722,1313.6,74806.641
Germany,DEU,2021,83.9727840718923,1341.2,74656.666
Germany,DEU,2022,84.25514005129615,1343.4,73053.743
Germany,DEU,2023,83.25213881369791,1338.8,72953.447
Japan,JPN,2014,48.50120274020391,1729.0,51511.615
Japan,JPN,2015,49.5954923573493,1719.0,51026.717
Japan,JPN,2016,49.67983444304112,1714.0,51358.827
Japan,JPN,2017,50.17980225240412,1709.0,51067.532
Japan,JPN,2018,50.54514364919178,1680.0,51826.955
Japan,JPN,2019,51.04591774712302,1644.0,52069.774
Japan,JPN,2020,50.54510963834785,1597.011,51293.862
Japan,JPN,2021,51.89442259589647,1607.483,51822.753
Japan,JPN,2022,52.43174024938514,1606.995,51129.005
Japan,JPN,2023,52.41203659606682,1610.745,49970.485
South Korea,KOR,2014,40.22897536368683,2075.0,50476.464
South Korea,KOR,2015,40.82243320070815,2082.0,51768.996
South Korea,KOR,2016,42.03072439640671,2068.0,53213.789
South Korea,KOR,2017,44.024533172895936,2018.0,54320.429
South Korea,KOR,2018,45.84885092953972,1992.0,56175.921
South Korea,KOR,2019,47.00325357796071,1966.0,58081.983
South Korea,KOR,2020,48.50871298442307,1907.0,59418.876
South Korea,KOR,2021,49.98218558092898,1910.0,59841.667
South Korea,KOR,2022,50.115665319839216,1900.0,58696.806
South Korea,KOR,2023,51.07553647092985,1872.0,59198.03
United States,USA,2014,72.35346735812777,1830.36,75074.762
United States,USA,2015,73.19851169166591,1831.118,76999.191
United States,USA,2016,73.6846854784062,1822.366,77129.241
United States,USA,2017,74.46483796197043,1820.449,77970.611
United States,USA,2018,75.27728632091625,1825.66,78892.594
United States,USA,2019,76.57222195017918,1822.579,80317.647
United States,USA,2020,80.05585297032337,1799.777,85170.596
United States,USA,2021,81.52020497270419,1818.849,86695.78
United States,USA,2022,81.10142875669932,1809.896,84214.966
United States,USA,2023,82.26885599486027,1804.95,83866.258
